Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-04-11T03:36:17.221Z","","","Included","composer-2-fast","No","0","71599","82048","246","153893","Included"
"2026-04-11T03:35:15.326Z","","","Included","composer-2-fast","No","0","0","0","0","0","Included"
"2026-04-11T03:17:51.236Z","","","Included","claude-4.6-opus-high-thinking","No","277072","96152","4116891","53168","4543283","Included"
"2026-04-11T03:08:44.885Z","","","Included","claude-4.6-opus-high-thinking","No","148068","9","602240","20753","771070","Included"
"2026-04-11T03:04:01.464Z","","","Included","claude-4.6-opus-high-thinking","No","282261","97797","503241","20178","903477","Included"
"2026-04-11T02:59:59.043Z","","","Included","composer-2-fast","No","0","12351","1224416","5146","1241913","Included"
"2026-04-11T02:58:01.763Z","","","Included","composer-2-fast","No","0","8485","621792","3885","634162","Included"
"2026-04-11T02:57:03.323Z","","","Included","composer-2-fast","No","0","76247","166560","3506","246313","Included"
"2026-04-11T02:56:55.084Z","","","Included","composer-2-fast","No","0","0","0","0","0","Included"
"2026-04-11T02:56:36.513Z","","","Included","composer-2-fast","No","0","417","75936","440","76793","Included"
"2026-04-11T02:54:37.312Z","","","Included","composer-2-fast","No","0","529","74656","758","75943","Included"
"2026-04-11T02:53:29.449Z","","","Included","composer-2-fast","No","0","439","73920","402","74761","Included"
"2026-04-11T02:51:38.515Z","","","Included","composer-2-fast","No","0","1167","72160","606","73933","Included"
"2026-04-11T02:50:34.937Z","","","Included","composer-2-fast","No","0","885","70688","1359","72932","Included"
"2026-04-11T02:49:09.533Z","","","Included","composer-2-fast","No","0","896","68992","1255","71143","Included"
"2026-04-11T02:47:12.295Z","","","Included","composer-2-fast","No","0","9255","389120","5427","403802","Included"
"2026-04-11T02:42:01.625Z","","","Included","composer-2-fast","No","0","10200","210048","5076","225324","Included"
"2026-04-11T02:40:21.030Z","","","Included","composer-2-fast","No","0","5387","226848","2331","234566","Included"
"2026-04-11T02:38:57.337Z","","","Included","composer-2-fast","No","0","3961","201792","2056","207809","Included"
"2026-04-11T02:37:26.880Z","","","Included","composer-2-fast","No","0","6826","100928","2517","110271","Included"
"2026-04-11T02:32:02.032Z","","","Included","composer-2-fast","No","0","24977","107264","6183","138424","Included"
"2026-04-11T02:03:39.340Z","","","Included","composer-2-fast","No","0","90898","832768","5896","929562","Included"
"2026-04-11T02:01:53.131Z","","","Included","composer-2-fast","No","0","186025","586720","6377","779122","Included"
"2026-04-10T18:20:18.925Z","","","Included","composer-2-fast","No","0","32703","2215136","5420","2253259","Included"
"2026-04-10T18:19:06.167Z","","","Included","composer-2-fast","No","0","0","0","0","0","Included"
"2026-04-10T18:18:11.958Z","","","Included","composer-2-fast","No","0","34522","1115104","19762","1169388","Included"
"2026-04-10T18:17:25.312Z","","","Included","composer-2-fast","No","0","16979","1435072","1585","1453636","Included"
"2026-04-10T18:16:02.510Z","","","Included","composer-2-fast","No","0","15233","274272","1098","290603","Included"
"2026-04-10T18:15:38.584Z","","","Included","composer-2-fast","No","0","82740","996512","9443","1088695","Included"
"2026-04-10T18:15:09.203Z","","","Included","composer-2-fast","No","0","413","68960","661","70034","Included"
"2026-04-10T18:13:55.631Z","","","Included","composer-2-fast","No","0","14721","183008","1130","198859","Included"
"2026-04-10T18:13:11.774Z","","","Included","composer-2-fast","No","0","289224","1818176","11963","2119363","Included"
"2026-04-10T18:09:17.695Z","","","Included","composer-2-fast","No","0","99230","177600","9310","286140","Included"
"2026-04-10T18:08:05.183Z","","","Included","composer-2-fast","No","0","57422","352032","6343","415797","Included"
"2026-04-10T18:00:36.021Z","","","Included","composer-2-fast","No","0","40171","269952","4702","314825","Included"
"2026-04-10T17:55:01.693Z","","","Included","composer-2-fast","No","0","19948","641856","3629","665433","Included"
"2026-04-10T17:49:25.905Z","","","Included","composer-2-fast","No","0","249239","3448544","26372","3724155","Included"
"2026-04-10T17:48:16.149Z","","","Included","composer-2-fast","No","0","121149","376608","5212","502969","Included"
"2026-04-10T17:44:11.316Z","","","Included","composer-2-fast","No","0","3911","571456","1637","577004","Included"
"2026-04-10T17:42:44.106Z","","","Included","composer-2-fast","No","0","14445","856224","4431","875100","Included"
"2026-04-10T17:39:12.693Z","","","Included","composer-2-fast","No","0","19349","1100096","6856","1126301","Included"
"2026-04-10T17:32:33.161Z","","","Included","composer-2-fast","No","0","82354","91648","147","174149","Included"
"2026-04-10T17:30:07.739Z","","","Included","composer-2-fast","No","0","4013","416160","4468","424641","Included"
"2026-04-10T17:26:47.513Z","","","Included","composer-2-fast","No","0","142545","459840","9617","612002","Included"
"2026-04-10T17:19:52.720Z","","","Included","composer-2-fast","No","0","53428","507328","7530","568286","Included"
"2026-04-10T17:17:41.961Z","","","Included","composer-2-fast","No","0","284498","1363392","17717","1665607","Included"
"2026-04-10T17:17:08.422Z","","","Included","composer-2-fast","No","0","1546","58944","858","61348","Included"
"2026-04-10T17:15:42.740Z","","","Included","composer-2-fast","No","0","22717","144320","1864","168901","Included"
"2026-04-10T17:15:22.791Z","","","Included","composer-2-fast","No","0","8475","894304","5023","907802","Included"
"2026-04-10T17:07:29.333Z","","","Included","composer-2-fast","No","0","170970","4352","355","175677","Included"
"2026-04-10T17:06:06.691Z","","","Errored, No Charge","composer-2-fast","No","0","0","0","0","0","-"
"2026-04-10T16:57:15.698Z","","","Included","composer-2-fast","No","0","78592","4827296","24331","4930219","Included"
"2026-04-10T16:54:50.799Z","","","Included","composer-2-fast","No","0","130613","625824","6715","763152","Included"
"2026-04-10T16:48:19.686Z","","","Included","composer-2-fast","No","0","23224","2619456","14988","2657668","Included"
"2026-04-10T16:46:07.650Z","","","Included","composer-2-fast","No","0","1201","87968","535","89704","Included"
"2026-04-10T16:45:41.094Z","","","Included","composer-2-fast","No","0","0","0","0","0","Included"
"2026-04-10T16:40:13.123Z","","","Included","composer-2-fast","No","0","72786","3110720","26398","3209904","Included"
"2026-04-10T16:01:00.451Z","","","Included","composer-2-fast","No","0","18512","114336","1780","134628","Included"
"2026-04-10T15:53:03.990Z","","","Included","composer-2-fast","No","0","9566","93312","760","103638","Included"
"2026-04-10T15:42:59.971Z","","","Included","composer-2-fast","No","0","52749","826912","12589","892250","Included"
"2026-04-10T15:40:39.405Z","","","Included","composer-2-fast","No","0","5946","126592","3253","135791","Included"
"2026-04-10T15:38:48.157Z","","","Included","composer-2-fast","No","0","3607","25376","1238","30221","Included"
"2026-04-10T15:37:59.421Z","","","Included","composer-2-fast","No","0","14638","882592","14026","911256","Included"
"2026-04-10T15:35:32.189Z","","","Included","composer-2-fast","No","0","20510","82816","4214","107540","Included"
"2026-04-10T15:34:17.366Z","","","Included","composer-2-fast","No","0","14937","1184064","12193","1211194","Included"
